DATE,TXS,FEE_PAYERS,DEX
2022-10-04,67874,10225,Jupiter Aggregator
2022-10-04,49,22,Mercurial
2022-10-04,11331708,555,Serum
2023-04-16,46628,1559,Raydium
2023-04-16,1151700,8003,Jupiter Aggregator
2023-04-16,9248,6286,Stepn
2023-04-16,370,4,Step Finance
2023-04-16,137,14,Saber
2023-04-16,3714,4,Lifinity
2023-04-16,161,34,Serum
2023-04-16,1536,25,Aldrin
2023-04-16,1,1,Mango Markets
2023-04-16,2911793,155,Openbook
2023-04-16,14304,976,Orca
2023-04-16,84365,1,GooseFX
2023-04-16,21,10,Mercurial
2023-05-14,1381,3,Step Finance
2023-05-14,1706,20,Aldrin
2023-05-14,121409,3459,Raydium
2023-05-14,20720,1159,Orca
2023-05-14,95,6,Saber
2023-05-14,2408689,11985,Jupiter Aggregator
2023-05-14,138,28,Serum
2023-05-14,1287,4,Lifinity
2023-05-14,7079,4792,Stepn
2023-05-14,11,4,Mercurial
2023-05-14,227,1,GooseFX
2023-05-14,1742568,224,Openbook
2023-01-06,1,1,Mango Markets
2023-01-06,34337,4722,Orca
2023-01-06,10206,7062,Stepn
2023-01-06,1,1,Invariant
2023-01-06,234,6,Lifinity
2023-01-06,2769,41,Aldrin
2023-01-06,92803,10123,Raydium
2023-01-06,84667,2,GooseFX
2023-01-06,1569,367,Serum
2023-01-06,92,6,Step Finance
2023-01-06,657384,694,Openbook
2023-01-06,312084,34279,Jupiter Aggregator
2023-01-06,140,23,Saber
2023-01-06,35,19,Mercurial
2023-07-09T00:00:00.000Z,2006425,5830,Jupiter Aggregator
2023-07-09T00:00:00.000Z,312721,89,Openbook
2023-07-09T00:00:00.000Z,36595,1263,Raydium
2023-07-09T00:00:00.000Z,7229,4697,Stepn
2023-07-09T00:00:00.000Z,23,3,Step Finance
2023-07-09T00:00:00.000Z,4,2,Invariant
2023-07-09T00:00:00.000Z,46463,825,Orca
2023-07-09T00:00:00.000Z,169,3,Aldrin
2023-07-09T00:00:00.000Z,606,5,Lifinity
2023-07-09T00:00:00.000Z,102,9,Saber
2023-07-09T00:00:00.000Z,305,1,GooseFX
2023-07-09T00:00:00.000Z,3,1,Mango Markets
2023-07-09T00:00:00.000Z,69,18,Serum
2023-09-12T00:00:00.000Z,2,2,Mercurial
2023-09-12T00:00:00.000Z,27154,993,Raydium
2023-09-12T00:00:00.000Z,749421,5201,Jupiter Aggregator
2023-09-12T00:00:00.000Z,6023,3974,Stepn
2023-09-12T00:00:00.000Z,1,1,Mango Markets
2023-09-12T00:00:00.000Z,549,1,Aldrin
2023-09-12T00:00:00.000Z,131,3,Step Finance
2023-09-12T00:00:00.000Z,330250,98,Openbook
2023-09-12T00:00:00.000Z,246,18,Serum
2023-09-12T00:00:00.000Z,2404,2,Invariant
2023-09-12T00:00:00.000Z,466,9,Saber
2023-09-12T00:00:00.000Z,179547,1931,Orca
2023-09-12T00:00:00.000Z,2405,3,Lifinity
