CREATION_DATE,ADDRESS
2022-02-27,19401
2022-02-28,34955
2022-03-01,37945
2022-03-02,33146
2022-03-03,30075
2022-03-04,24026
2022-03-05,28154
2022-03-06,24039
2022-03-07,23675
2022-03-08,25979
2022-03-09,27122
2022-03-10,26182
2022-03-11,33078
2022-03-12,28042
2022-03-13,35212
2022-03-14,40624
2022-03-15,44501
2022-03-16,46982
2022-03-17,42590
2022-03-18,26550
2022-03-19,20884
2022-03-20,21146
2022-03-21,24811
2022-03-22,30649
2022-03-23,44694
2022-03-24,48839
2022-03-25,43657
2022-03-26,39021
2022-03-27,41581
2022-03-28,46038
2022-03-29,35410
2022-03-30,43253
2022-03-31,50512
2022-04-01,50254
2022-04-02,42166
2022-04-03,37868
2022-04-04,35443
2022-04-05,41380
2022-04-06,31443
2022-04-07,33447
2022-04-08,38197
2022-04-09,34724
2022-04-10,47445
2022-04-11,50691
2022-04-12,58216
2022-04-13,61731
2022-04-14,57031
2022-04-15,53312
2022-04-16,63065
2022-04-17,68304
2022-04-18,65468
2022-04-19,74877
2022-04-20,75615
2022-04-21,67244
2022-04-22,62535
2022-04-23,37046
2022-04-24,56586
2022-04-25,62137
2022-04-26,70745
2022-04-27,38262
2022-04-28,37126
2022-04-29,37320
2022-04-30,28206
2022-05-01,15682
2022-05-02,42541
2022-05-03,41867
2022-05-04,41762
2022-05-05,36914
2022-05-06,43081
2022-05-07,40545
2022-05-08,36327
2022-05-09,33773
2022-05-10,33668
2022-05-11,32595
2022-05-12,30367
2022-05-13,30402
2022-05-14,34143
2022-05-15,32382
2022-05-16,48456
2022-05-17,34245
2022-05-18,41934
2022-05-19,36241
2022-05-20,46401
2022-05-21,47217
2022-05-22,42373
2022-05-23,57159
2022-05-24,56418
2022-05-25,40140
2022-05-26,39325
2022-05-27,38553
2022-05-28,32380
2022-05-29,32973
2022-05-30,35556
2022-05-31,34175
2022-06-01,25471
2022-06-02,32443
2022-06-03,20699
2022-06-04,27933
2022-06-05,29752
2022-06-06,27685
2022-06-07,27681
2022-06-08,57369
2022-06-09,24686
2022-06-10,21577
2022-06-11,20073
2022-06-12,19204
2022-06-13,20117
2022-06-14,18627
2022-06-15,16882
2022-06-16,15140
2022-06-17,14885
2022-06-18,16386
2022-06-19,17780
2022-06-20,23213
2022-06-21,28600
2022-06-22,25801
2022-06-23,25502
2022-06-24,26354
2022-06-25,22758
2022-06-26,19530
2022-06-27,17547
2022-06-28,22715
2022-06-29,21933
2022-06-30,27697
2022-07-01,41201
2022-07-02,18887
2022-07-03,18787
2022-07-04,17295
2022-07-05,19912
2022-07-06,17131
2022-07-07,18887
2022-07-08,20458
2022-07-09,20141
2022-07-10,15058
2022-07-11,16903
2022-07-12,19893
2022-07-13,15726
2022-07-14,21517
2022-07-15,17717
2022-07-16,16946
2022-07-17,16226
2022-07-18,20834
2022-07-19,21322
2022-07-20,18959
2022-07-21,16773
2022-07-22,16925
2022-07-23,15630
2022-07-24,18362
2022-07-25,15678
2022-07-26,15555
2022-07-27,17750
2022-07-28,15689
2022-07-29,20171
2022-07-30,14630
2022-07-31,13525
2022-08-01,18376
2022-08-02,15891
2022-08-03,39982
2022-08-04,17378
2022-08-05,17867
2022-08-06,20675
2022-08-07,14676
2022-08-08,14984
2022-08-09,14474
2022-08-10,25082
2022-08-11,15609
2022-08-12,18006
2022-08-13,43295
2022-08-14,12341
2022-08-15,12500
2022-08-16,13490
2022-08-17,17761
2022-08-18,12067
2022-08-19,12762
2022-08-20,13167
2022-08-21,9481
2022-08-22,11215
2022-08-23,12097
2022-08-24,13220
2022-08-25,14700
2022-08-26,15597
2022-08-27,13173
2022-08-28,10413
2022-08-29,16208
2022-08-30,15172
2022-08-31,12065
2022-09-01,15869
2022-09-02,11207
2022-09-03,10828
2022-09-04,9742
2022-09-05,13471
2022-09-06,20024
2022-09-07,16561
2022-09-08,16951
2022-09-09,17386
2022-09-10,14718
2022-09-11,14415
2022-09-12,15286
2022-09-13,16304
2022-09-14,14529
2022-09-15,17009
2022-09-16,16651
2022-09-17,13645
2022-09-18,10655
2022-09-19,29597
2022-09-20,14475
2022-09-21,17238
2022-09-22,14225
2022-09-23,17477
2022-09-24,14698
2022-09-25,16117
2022-09-26,22298
2022-09-27,17665
2022-09-28,16665
2022-09-29,19668
2022-09-30,15298
2022-10-01,16316
2022-10-02,14840
2022-10-03,17574
2022-10-04,20803
2022-10-05,24009
2022-10-06,40161
2022-10-07,19046
2022-10-08,17333
2022-10-09,32201
2022-10-10,18103
2022-10-11,26904
2022-10-12,15024
2022-10-13,20108
2022-10-14,14985
2022-10-15,15592
2022-10-16,20727
2022-10-17,20256
