CREATION_DATE,Days since last use,Days since creation
2021-09-01,440.8263885732881,527.8129449447916
2021-09-08,453.12713877591426,520.8129449447916
2021-09-15,436.7852774186602,513.8129449447916
2021-09-22,441.42104798802285,506.8129449447917
2021-09-29,427.0304270685801,499.8129449447917
2021-10-06,430.31889779633525,492.8129449447917
2021-10-13,429.21222065557953,485.8129449447917
2021-10-20,418.24962743936413,478.8129449447917
2021-10-27,412.3606920153773,471.8129449447917
2021-11-03,400.92105009015626,464.8129449447917
2021-11-10,396.5260750860899,457.8129449447917
2021-11-17,388.4151149415144,450.8129449447917
2021-11-24,377.55038725626173,443.8129449447917
2021-12-01,386.3002289728207,436.8129449447917
2021-12-08,369.5212545257118,429.8129449447917
2021-12-15,362.0635477914169,422.8129449447917
2021-12-22,360.0409576532244,415.8129449447917
2021-12-29,355.0744298232758,408.8129449447917
2022-01-05,352.755361107895,401.8129449447917
2022-01-12,367.4666756141578,394.8129449447917
2022-01-19,371.7468153867753,387.8129449447917
2022-01-26,364.80874180718394,380.8129449447917
2022-02-02,343.67382668692215,373.8129449447917
2022-02-09,346.74097115907864,366.8129449447917
2022-02-16,332.803116261847,359.8129449447917
2022-02-23,324.7148613307933,352.8129449447917
2022-03-02,311.1711130288305,345.8129449447917
2022-03-09,308.594371022226,338.8129449447917
2022-03-16,299.5204301292882,331.8129449447917
2022-03-23,297.61016940350567,324.8129449447917
2022-03-30,285.9270064615925,317.8129449447917
2022-04-06,279.5237844350389,310.8129449447917
2022-04-13,275.71690787361337,303.8129449447917
2022-04-20,266.42471513269464,296.8129449447917
2022-04-27,235.94432485803316,289.8129449447917
2022-05-04,233.24153497500416,282.8129449447917
2022-05-11,231.54596779313172,275.8129449447917
2022-05-18,223.0699028541508,268.8129449447917
2022-05-25,216.72638117475614,261.8129449447917
2022-06-01,216.3143135861878,254.81294494479167
2022-06-08,213.4177781856187,247.81294494479167
2022-06-15,211.11960615378075,240.81294494479167
2022-06-22,205.33678437761037,233.81294494479167
2022-06-29,201.69040399835973,226.81294494479167
2022-07-06,196.71010602689503,219.81294494479167
2022-07-13,190.1962427088572,212.81294494479167
2022-07-20,184.009316409211,205.81294494479167
2022-07-27,174.34795894746009,198.81294494479167
2022-08-03,170.56597029245077,191.81294494479167
2022-08-10,170.69261288651313,184.81294494479167
2022-08-17,161.79765402953095,177.81294494479167
2022-08-24,156.66745323124707,170.81294494479167
2022-08-31,151.73088776582549,163.81294494479167
2022-09-07,145.2973156683798,156.81294494479167
2022-09-14,140.4033029616113,149.81294494479167
2022-09-21,135.55044956242492,142.81294494479167
2022-09-28,129.33216280094177,135.81294494479167
2022-10-05,124.48134590312765,128.81294494479167
2022-10-12,118.35379768314489,121.81294494479165
2022-10-19,112.86585168574585,114.81294494479165
2022-10-26,104.67130539853507,107.81294494479165
2022-11-02,97.87120136061596,100.81294494479165
2022-11-09,91.04183170459206,93.81294494479168
2022-11-16,83.0316930791275,86.81294494479168
2022-11-23,76.86680482129321,79.81294494479167
2022-11-30,69.79673282088554,72.81294494479167
2022-12-07,62.42570124105013,65.81294494479167
2022-12-14,55.84379878688485,58.81294494479167
2022-12-21,48.174975253291144,51.81294494479167
2022-12-28,40.64881893823999,44.81294494479167
2023-01-04,35.181971450427035,37.81294494479167
2023-01-11,28.408467999767428,30.812944944791667
2023-01-18,21.4375259281785,23.812944944791667
2023-01-25,13.958726213727273,16.812944944791667
2023-02-01,6.546669049258122,9.812944944791665
2023-02-08,1.805899825599137,2.812944944791667
