BLOCKCHAIN,CREATOR,ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,LABEL,ADDRESS_NAME
solana,flipside,HABitaBFxaU7wtLuSX6zdtDfz4uvoJ1NUvhHoeDsyrwn,nft,general_contract,genopets ,genopets : general contract
solana,flipside,FoXpJL1exLBJgHVvdSHNKyKu2xX2uatctH9qp6dLmfpP,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,HedgeEohwU6RqokrvPU4Hb6XKPub8NuKbnPmY7FoMMtN,defi,general_contract,hedge,hedge program id
solana,flipside,jCebN34bUfdeUYJT13J1yG16XWQpt5PDx6Mse9GUqhR,dapp,general_contract,bonfida,bonfida name service
solana,flipside,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,nft,general_contract,metaplex,metaplex token metadata
solana,flipside,mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68,dex,general_contract,mango markets,Mango Markets
solana,flipside,9KEPoZmtHUrBbhWN1v1KWLMkkvwY6WLtAVUCPRtRjP4z,dex,pool,raydium,Raydium Stake V5
solana,flipside,BJ3jrUzddfuSrZHXSCxMUUQsjKEyLmuuyZebkcaFp2fg,dex,general_contract,serum,serum dex v1
solana,flipside,BLDDrex4ZSWBgPYaaH6CQCzkJXWfzCiiur9cSFJT8t3x,defi,general_contract,atrix,atrix finance farm program
solana,flipside,DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,dapp,oracle,switchboard,switchboard oracle
solana,flipside,cndy3Z4yapfJBmL3ShUp5exZKqR3z33thTzeNMm2gRZ,nft,contract_deployer,metaplex,metaplex nft candy machine v2
solana,flipside,cndyAnrLdpjq1Ssp1z8xxDsB8dxe7u4HL5Nxi2K5WXZ,nft,contract_deployer,metaplex,metaplex nft candy machine v1
solana,flipside,J9uWvULFL47gtCPvgR3oN7W357iehn5WF2Vn9MJvcSxz,dapp,governance,realms,orca dao
solana,flipside,JD3bq9hGdy38PuWQ4h2YJpELmHVGPPfFSuFkpzAd9zfu,dex,general_contract,mango markets,mango markets v1
solana,flipside,4ckmDgGdxQoPDLUkDT3vHgSAkzA3QRdNq5ywwY4sUSJn,dex,general_contract,serum,serum dex v1
solana,flipside,CeNUxGUsSeb5RuAGvaMLNx3tEZrpBwQqA7Gs99vMPCAb,dapp,token_contract,dialect,dialect program
solana,flipside,BrEAK7zGZ6dM71zUDACDqJnekihmwF15noTddWTsknjC,dapp,general_contract,break solana,break solana
solana,flipside,ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD,dex,general_contract,zeta,zeta dex
solana,flipside,Zo1ggzTUKMY5bYnDvT5mtVeZxzf2FaLTbKkmvGUhUQk,defi,general_contract,01 program,01 program
solana,flipside,EpbboeWhnD1UTfdaqAmtVgpzMXaLTjFoTrHrE4ea1izG,nft,general_contract,gigadex,gigadex
solana,flipside,F6fmDVCQfvnEq2KR8hhfZSEczfM9JK9fWbCsYJNbTGn7,dapp,general_contract,incinerator,incinerator
solana,flipside,7WduLbRfYhTJktjLw5FDEyrqoEv61aTTCuGAetgLjzN5,defi,general_contract,goose fx,goose fx ssl program
solana,flipside,4bcFeLv4nydFrsZqV5CgwCVrPhkQKsXtzfy2KyMz7ozM,defi,general_contract,tulip,tulip protocol lending program
solana,flipside,7t8zVJtPCFAqog1DcnB6Ku1AVKtWfHkCiPi1cAvcJyVF,nft,marketplace,digitaleyes,digitaleyes direct sell
solana,flipside,BPFLoader2111111111111111111111111111111111,chadmin,general_contract,solana,bpf loader 2
solana,flipside,BPFLoaderUpgradeab1e11111111111111111111111,chadmin,general_contract,solana,loaderinstruction
solana,flipside,A7kmu2kUcnQwAVn8B4znQmGJeUrsJ1WEhYVMtmiBLkEr,dapp,governance,realms,solend dao
