FriendlyName,Abbreviation,Category,VoteKey,Network,Tags,LogoURI,Flag,ADDRESS
StepN DOOAR Swap,StepN DOOAR Swap,programs,,mainnet,[],https://mycryptoreferrals-uploads-stage.s3-us-east-2.amazonaws.com/msv/9a6eb649-b934-47ea-b05b-f2cd43caa00c/L12.png,,Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j
Switchboard Oracle Program,,programs,,mainnet,[],https://miro.medium.com/max/2400/1*F4DeqUObWEKQbU8eB5T0CQ.png,,DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM
Serum Dex Program v2,,programs,,mainnet,[],https://assets.website-files.com/61382d4555f82a75dc677b6f/61ff21f9dcce3b42bfe4135c_serum%20NOF.png,scammed,EUqojwWA2rd19FZrzeBncJsm38Jm1hEhE3zsmX3bRc2o
Exchange Art Buy Now & Edition Program,Exchange Art Buy Now & Edition Program,programs,,mainnet,[],,,EXBuYPNgBUXMTsjCbezENRUtFQzjUNZxvPGTd11Pznk5
Ed25519 SigVerify Precompile,,programs,,"custom,devnet,testnet,mainnet",[],,,Ed25519SigVerify111111111111111111111111111
Lifinity Program,Lifinity Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1437045911188770817/cJs6MMUb_400x400.jpg,,EewxydAPCCVuNEyrVN68PuSYdQ7wKn27V9Gjeoi8dy3S
Raydium Staking Program,,programs,,mainnet,[],https://s2.coinmarketcap.com/static/img/coins/64x64/8526.png,,EhhTKczWMGQt46ynNeRX1WfeagwwJd7ufHvCDjRxjo5Q
Amulet's ExchangeRateProgram,Amulet's ExchangeRateProgram,programs,,mainnet,[],https://avatars.githubusercontent.com/u/93768966?s=280&v=4,,EyEA5qYiCfM6yCKGMF1izPRmkVdJPkhvpkm8JNSrwjqB
Tulip | Saber Vault,Tulip's Saber Vault,programs,,mainnet,"['Defi', 'Vaults']",https://s2.coinmarketcap.com/static/img/coins/200x200/10373.png,,EzSXQ2BXf8m4y4jcQQGeZ6nnwXB3ARXP3YQ5SwjKLj82
PsyOptions - Tokenized Europeans Protocol DAO,Tokenized Europeans Protocol DAO,accounts,,mainnet,['DAO'],,,FASQhaZQT53W9eT9wWnPoBFw8xzZDey9TbMmJj6jCQTs
Francium Lending Program,Lending Program,programs,,mainnet,['lending'],https://pbs.twimg.com/profile_images/1476861175023353857/Srga_3kj_400x400.jpg,,FC81tbGt6JWRXidaWYFXxGnTk4VgobhJHATvTRVMqgWj
Mean Finance MultiSig Program,Mean Finance MultiSig Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1511040310344044544/ksia9GiX_400x400.jpg,,FF7U7Vj1PpBkTPau7frwLLrUHrjkxTQLsH7U5K3T3B3j
Star Atlas Fleet Program,Star Atlas Fleet Program,programs,,mainnet,[],https://icodrops.com/wp-content/uploads/2021/08/StarAtlas_logo.jpg,,FLEET1qqzpexyaDpqb2DGsSzE2sDCizewCg9WjrA6DBW
DeGods Farm,DeGods Farm,programs,,mainnet,[],https://uploads-ssl.webflow.com/6190adde0207043d887665cd/620a4521d9114e3baaa296f8_DeGods.png,,FQzYycoqRjmZTgCcTTAkzceH2Ju8nzNLa5d78K3yAhVW
Amulet's UnderwritingProgram,Amulet's UnderwritingProgram,programs,,mainnet,[],https://avatars.githubusercontent.com/u/93768966?s=280&v=4,,FVP4fqjp3VHyPgkzjUwjcUcWv2DiYffW4PfbKPz8Tfx3
Tulip | Orca Vault,Tulip Orca Vault,programs,,mainnet,"['Defi', 'Vaults']",https://s2.coinmarketcap.com/static/img/coins/200x200/10373.png,,FoNqK2xudK7TfKjPFxpzAcTaU2Wwyt81znT4RjJBLFQp
Famous Fox Federation Program,Famous Fox Federation Program,programs,,mainnet,[],https://famousfoxes.com/logo.b8610686.svg,,FoXpJL1exLBJgHVvdSHNKyKu2xX2uatctH9qp6dLmfpP
Pyth Oracle Program,,programs,,mainnet,[],https://icoholder.com/files/img/bb1b4116ea0f723fec07a6bc5fe1e0f5.jpeg,,FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH
Solnet Program,Solnet,programs,,mainnet,[],https://repository-images.githubusercontent.com/370790102/c21bb900-d695-11eb-8960-ee7ce9c140a8,,GDDMwNyyx8uB6zrqwBFHjLLG3TBYk2F8Az4yrQC5RzMp
Goblin Gold Program ID,GGo1dnYpjKfe9omzUaFtaCyizvwpAMf3NhxSCMD61F3A,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1496450638053576704/7e7Xhvjy_400x400.jpg,,GGo1dnYpjKfe9omzUaFtaCyizvwpAMf3NhxSCMD61F3A
Everlend General Pool V1,General Pool,programs,,mainnet,['pools'],https://pbs.twimg.com/profile_images/1516109648981594119/-atTxUNG_400x400.png,,GenUMNGcWca1GiPLfg89698Gfys1dzk9BAGsyb9aEL2u
Streamflow MultiSig Program,Streamflow MultiSig Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1396561843146080259/VJNtxnX0_400x400.jpg,,GfjqZ9MsfqKkEepy8F4xfS9uuxEEQpwWQXKnTKJY5nrG
SPL Governance Program,SPL Governance Program,programs,,mainnet,['Dao'],,,GovER5Lthms3bLBqWub97yVrMmEogzX7xNjdXpPPCVZw
PsyOptions - American Protocol Owner,PsyOptions - American Protocol Owner,accounts,,mainnet,[],,,GovHgfDPyQ1GwazJTDY2avSVY8GGcpmCapmmCsymRaGe
Mango Governance Program,,programs,,mainnet,[],,,GqTPL6qRf5aUuqscLh8Rg2HTxPUXfhhAXDptTLhp1t2J
PoolProps Program,PoolProps Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1551312540298137601/7vdug71h_400x400.jpg,,GrcZwT9hSByY1QrUTaRPp6zs5KxAA5QYuqEhjT1wihbm
Mean Finance MSP V1,Mean Finance MSP V1,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1511040310344044544/ksia9GiX_400x400.jpg,,H6wJxgkcc93yeUFnsZHgor3Q3pSWgGpEysfqKrwLtMko
Genopets Habitat Management Program,Genopets,programs,,mainnet,[],https://s2.coinmarketcap.com/static/img/coins/64x64/13632.png,,HAbiTatJVqoCJd9asyr6RxMEdwtfrQugwp7VAFyKWb1g
Amulet's ProductProgram,Amulet's ProductProgram,programs,,mainnet,[],https://avatars.githubusercontent.com/u/93768966?s=280&v=4,,HXd8ibaCBdxo9nRDjRk6d3C1jS6KPoWMZSYzdSJA7TRU
AlphaArt,AA,programs,,mainnet,['Nft Marketplace'],,,HZaWndaNWHFDd9Dhk5pqUUtsmoBCqzb1MLu3NAh1VX6B
Parrot Program,Parrot Program,programs,,mainnet,['parrot'],,,HajXYaDXmohtq2ZxZ6QVNEpqNn1T53Zc9FnR1CnaNnUf
Hedge Program ID,Hedge Program ID,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1525647217394073608/M3QJ602S_400x400.jpg,,HedgeEohwU6RqokrvPU4Hb6XKPub8NuKbnPmY7FoMMtN
Hubble,Hubble,programs,,mainnet,['Defi'],https://pbs.twimg.com/profile_images/1471509778501230618/Pj3rpcr1_400x400.jpg,,HubbLeXBb7qyLHt3x7gvYaRrxQmmgExb7fCJgDqFuB6T
Atrix Finance Pool Program,Atrix Finance Pool Program,programs,,mainnet,[],,,HvwYjjzPbXWpykgVZhqvvfeeaSraQVnTiQibofaFw9M7
Tessera,Tessera,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1584849968614936578/w8Drs20f_400x400.jpg,,HzSHjBxsZZ63ktjQfXagJbC3nNNWqmSGqPQSwxaP5ff1
Destiny of War Program,Destiny of War Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1479658341492305924/YJC2vcYo_400x400.jpg,,J1wXTXm5azpgdq2K76DYTCrdAcoX9FMWPnJZ3hLgWF3e
Mango Program v1,,programs,,mainnet,[],,,JD3bq9hGdy38PuWQ4h2YJpELmHVGPPfFSuFkpzAd9zfu
Jupiter,Jupiter,programs,,mainnet,[],https://jup.ag/svg/jupiter-logo.svg,,JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo
Jupiter Swap V4,Jupiter Swap V4,programs,,mainnet,"['Defi', 'Swap']",https://jup.ag/svg/jupiter-logo.svg,,JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB
