blockchain,creator,address,label_type,label_subtype,label,address_name,dim_labels_id,inserted_timestamp,modified_timestamp,__row_index
solana,flipside,grwDL1AZiCaBmTQHTQVhX6wxXKowAnisDZxH7866LUL,nft,rewards,cardinal,cardinal group reward distributer,eb489bdb804790ee045d7764a398d663,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,305
solana,flipside,SMPLKTQhrgo22hFCVq2VGX1KAktTWjeizkhrdB1eauK,dapp,general_contract,squads,squad manager program,cd3177067c64e3941bddd235343533ac,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,306
solana,flipside,So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo,defi,general_contract,solend,SOLend Protocol,7f262577aea4e7fd8c28ad6576d1e049,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,307
solana,flipside,Soda111Jv27so2PRBd6ofRptC6dKxosdN5ByFhCcR3V,defi,general_contract,soda,soda lending program,209c16935b8b8cc15b1e7ece60374cdf,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,308
solana,flipside,CYPHER79cJLzQ8iyyr6oeizfGgR9YU9NM9oTMPWak5oQ,defi,general_contract,cypher,cypher,44a69d6b62c786d310117a96afe54f13,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,309
solana,flipside,FLUXubRmkEi2q6K3Y9kBPg9248ggaZVsoSFhtJHSrm1X,dex,general_contract,fluxbeam,fluxbeam program,fdaff82712c811e19f776847046722fb,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,310
solana,flipside,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,dex,aggregator_contract,jupiter,jupiter swap v6,046cda734743fb9df55a10e2ea954c44,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,311
solana,flipside,BGUMAp9Gq7iTEuizy4pqaxsTyUCBK68MDfK752saRPUY,nft,general_contract,metaplex,bubblegum,da1105a1d2c35945b168039556ac7ff3,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,312
solana,flipside,AVoAYTs36yB5izAaBkxRG67wL1AMwG3vo41hKtUSb8is,dapp,governance,realms,serum,ca47f4e3f4faf82ca56383a2c231d434,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,313
solana,flipside,2c54pLrGpQdGxJWUAoME6CReBrtDbsx5Tqx4nLZZo6av,dapp,general_contract,light protocol,light protocol,46e0157ab949a50e32b084b8c62cfd57,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,314
solana,flipside,dammHkt7jmytvbS3nHTxQNEcP59aE57nxwV21YdqEDN,defi,general_contract,drift,drift protocol,5df6b8b6569d2c039cb98f45677c7c76,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,315
solana,flipside,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,defi,general_contract,slow protocol,slow protocol,594c7f43cfacfd8fa8fbc0b3b1e2638b,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,316
solana,flipside,FC81tbGt6JWRXidaWYFXxGnTk4VgobhJHATvTRVMqgWj,defi,general_contract,francium,francium lending program,85c86bc09a157ccd17cdc48ed1b4fce8,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,317
solana,flipside,BJ3jrUzddfuSrZHXSCxMUUQsjKEyLmuuyZebkcaFp2fg,dex,general_contract,serum,serum dex v1,137cc7be06633457f549c396315d20c1,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,318
solana,flipside,3HUeooitcfKX1TSCx2xEpg2W31n6Qfmizu7nnbaEWYzs,defi,general_contract,cega,cega program,940f69910770e16fd2c28c72d06d58d0,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,319
solana,flipside,4CgyHKuP6yi1vbmcdsArngEKcETR4nZupqYEMk2hEoQd,dapp,general_contract,elusiv,elusiv program,71d26037e088fcb98a92ec1a294f1e52,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,320
solana,flipside,EhhTKczWMGQt46ynNeRX1WfeagwwJd7ufHvCDjRxjo5Q,dex,general_contract,raydium,Raydium Stake,a95674806ede6f34e3cbb1ffdda40f1d,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,321
solana,flipside,HT19EcD68zn7NoCF79b2ucQF8XaMdowyPt5ccS6g1PUx,dapp,governance,realms,ratio finance,fcbbe6ed98ee24478b9f1a3ed8294ccc,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,322
solana,flipside,arb1wVBsR7MVRh1tt46A199daQE21xh9Kr9jE6u96Pz,dapp,general_contract,mev,mev address,1511829c4e4fbd1255c8b596f1f74937,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,323
solana,flipside,FiRESpaNzgYUiba5vkb44CZJLZjrux1AUECdfwPRsNkg,token,general_contract,bonk,bonk fire,afff2f1e28c5a390a8916c18a5c2a512,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,324
solana,flipside,KJ6b6PswEZeNSwEh1po51wxnbX1C3FPhQPhg8eD2Y6E,defi,general_contract,defiland,defiland staking program,1aee1adba2ec0607f4c1d38feddcfeb2,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,325
solana,flipside,cndy3Z4yapfJBmL3ShUp5exZKqR3z33thTzeNMm2gRZ,nft,contract_deployer,metaplex,metaplex nft candy machine v2,ecee62c425bf9eeeb5537af482386e9b,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,326
