TYPE,DATE,WALLETS,DEX
Fee Payers,2022-12-02,249,Serum
Fee Payers,2022-12-02,3,Step Finance
Signers,2022-12-02,6942,Jupiter Aggregator
Signers,2022-12-02,1,GooseFX
Signers,2022-12-02,59,Mercurial
Signers,2022-12-02,4,Step Finance
Signers,2022-12-02,1148,Openbook
Fee Payers,2022-12-02,712,Orca
Fee Payers,2022-12-02,1,GooseFX
Fee Payers,2022-12-02,88,Openbook
Signers,2022-12-02,2793,Raydium
Fee Payers,2022-12-02,9,Mango Markets
Signers,2022-12-02,36870,Stepn
Fee Payers,2022-12-02,20,Mercurial
Fee Payers,2022-12-02,8,Lifinity
Fee Payers,2022-12-02,63,Aldrin
Signers,2022-12-02,26,Saber
Fee Payers,2022-12-02,1139,Raydium
Signers,2022-12-02,2,Invariant
Signers,2022-10-15,4783,Raydium
Fee Payers,2022-10-15,18113,Stepn
Signers,2022-10-15,38,Saber
Fee Payers,2022-10-15,93,Mango Markets
Signers,2022-10-15,7760,Jupiter Aggregator
Fee Payers,2022-10-15,2,Cykura
Fee Payers,2022-10-15,29,Mercurial
Signers,2022-10-15,141,Mango Markets
Fee Payers,2022-10-15,920,Orca
Signers,2022-10-15,35198,Serum
Fee Payers,2022-10-15,2,GooseFX
Fee Payers,2022-10-15,32,Saber
Fee Payers,2022-10-15,7,Step Finance
Fee Payers,2022-10-15,64,Aldrin
Signers,2022-10-15,9,Lifinity
Signers,2022-10-15,5069,Orca
Fee Payers,2022-10-15,7720,Jupiter Aggregator
Fee Payers,2022-10-15,550,Serum
Fee Payers,2022-10-15,3,Invariant
Signers,2022-10-15,81,Mercurial
Signers,2022-10-15,10,Step Finance
Signers,2022-10-15,2,GooseFX
Fee Payers,2022-10-15,1805,Raydium
Signers,2022-10-15,91775,Stepn
Signers,2022-10-15,107,Aldrin
Signers,2022-10-15,3,Invariant
Fee Payers,2022-10-15,6,Lifinity
Signers,2022-10-15,2,Cykura
Fee Payers,2022-10-09,4,Crema
Signers,2022-10-09,1,GooseFX
Signers,2022-10-09,8433,Jupiter Aggregator
Fee Payers,2022-10-09,500,Serum
Signers,2022-10-09,634,Mango Markets
Signers,2022-10-09,15,Lifinity
Fee Payers,2022-10-09,33,Saber
Fee Payers,2022-10-09,18092,Stepn
Fee Payers,2022-10-09,1065,Orca
Fee Payers,2022-10-09,11,Lifinity
Fee Payers,2022-10-09,8413,Jupiter Aggregator
Signers,2022-10-09,4,Crema
Signers,2022-10-09,12,Step Finance
Fee Payers,2022-10-09,1,GooseFX
Fee Payers,2022-10-09,6,Cykura
Fee Payers,2022-10-09,80,Aldrin
Fee Payers,2022-10-09,31,Mercurial
Signers,2022-10-09,84794,Stepn
Signers,2022-10-09,21828,Serum
Signers,2022-10-09,8,Invariant
Fee Payers,2022-10-09,301,Mango Markets
Signers,2022-10-09,4372,Orca
Fee Payers,2022-10-09,2053,Raydium
Fee Payers,2022-10-09,2,Invariant
Signers,2022-10-09,135,Aldrin
Signers,2022-10-09,5245,Raydium
Signers,2022-10-09,74,Mercurial
Signers,2022-10-09,36,Saber
Fee Payers,2022-10-09,6,Step Finance
Signers,2022-10-09,8,Cykura
Fee Payers,2022-11-07,2093,Raydium
Signers,2022-11-07,37,Saber
Signers,2022-11-07,16,Lifinity
Fee Payers,2022-11-07,32,Saber
Fee Payers,2022-11-07,1386,Orca
Fee Payers,2022-11-07,16,Lifinity
Fee Payers,2022-11-07,22,Mango Markets
Signers,2022-11-07,73483,Serum
Signers,2022-11-07,5,Invariant
Signers,2022-11-07,6,Step Finance
Signers,2022-11-07,87,Mercurial
Signers,2022-11-07,37,Mango Markets
Signers,2022-11-07,154,Aldrin
Signers,2022-11-07,68165,Stepn
Signers,2022-11-07,10347,Jupiter Aggregator
Fee Payers,2022-11-07,77,Aldrin
Fee Payers,2022-11-07,28,Mercurial
Signers,2022-11-07,10217,Raydium
Fee Payers,2022-11-07,5,Invariant
Fee Payers,2022-11-07,6,GooseFX
Fee Payers,2022-11-07,16854,Stepn
Fee Payers,2022-11-07,4,Step Finance
Fee Payers,2022-11-07,10224,Jupiter Aggregator
Fee Payers,2022-11-07,897,Serum
Signers,2022-11-07,6,GooseFX
Signers,2022-11-07,13845,Orca
Signers,2023-08-09T00:00:00.000Z,6,Invariant
Signers,2023-08-09T00:00:00.000Z,7935,Orca
Signers,2023-08-09T00:00:00.000Z,6542,Jupiter Aggregator
Signers,2023-08-09T00:00:00.000Z,279,Openbook
Fee Payers,2023-08-09T00:00:00.000Z,5,Lifinity
Signers,2023-08-09T00:00:00.000Z,5,Lifinity
Signers,2023-08-09T00:00:00.000Z,1765,Raydium
Fee Payers,2023-08-09T00:00:00.000Z,1,Aldrin
Fee Payers,2023-08-09T00:00:00.000Z,7,Saber
Signers,2023-08-09T00:00:00.000Z,14319,Stepn
Signers,2023-08-09T00:00:00.000Z,1,Mango Markets
Signers,2023-08-09T00:00:00.000Z,3,Step Finance
Fee Payers,2023-08-09T00:00:00.000Z,26,Serum
Fee Payers,2023-08-09T00:00:00.000Z,3529,Stepn
Signers,2023-08-09T00:00:00.000Z,9,Saber
Signers,2023-08-09T00:00:00.000Z,1,Aldrin
Fee Payers,2023-08-09T00:00:00.000Z,1283,Orca
Fee Payers,2023-08-09T00:00:00.000Z,6,Invariant
Fee Payers,2023-08-09T00:00:00.000Z,137,Openbook
Fee Payers,2023-08-09T00:00:00.000Z,6516,Jupiter Aggregator
Fee Payers,2023-08-09T00:00:00.000Z,1,Mango Markets
Fee Payers,2023-08-09T00:00:00.000Z,3,Step Finance
Fee Payers,2023-08-09T00:00:00.000Z,1238,Raydium
Signers,2023-08-09T00:00:00.000Z,32,Serum
Fee Payers,2023-07-27T00:00:00.000Z,8,Saber
Signers,2023-07-27T00:00:00.000Z,2330,Raydium
Fee Payers,2023-07-27T00:00:00.000Z,1189,Raydium
Signers,2023-07-27T00:00:00.000Z,4,Mercurial
Fee Payers,2023-07-27T00:00:00.000Z,1,Aldrin
Signers,2023-07-27T00:00:00.000Z,3,Lifinity
Signers,2023-07-27T00:00:00.000Z,222,Openbook
Fee Payers,2023-07-27T00:00:00.000Z,23,Serum
Signers,2023-07-27T00:00:00.000Z,13835,Stepn
Fee Payers,2023-07-27T00:00:00.000Z,2,Mercurial
Signers,2023-07-27T00:00:00.000Z,6813,Jupiter Aggregator
Signers,2023-07-27T00:00:00.000Z,1,Invariant
Signers,2023-07-27T00:00:00.000Z,7092,Orca
Fee Payers,2023-07-27T00:00:00.000Z,102,Openbook
Fee Payers,2023-07-27T00:00:00.000Z,3612,Stepn
Fee Payers,2023-07-27T00:00:00.000Z,3,Lifinity
Fee Payers,2023-07-27T00:00:00.000Z,1020,Orca
Signers,2023-07-27T00:00:00.000Z,25,Serum
Signers,2023-07-27T00:00:00.000Z,8,Saber
Fee Payers,2023-07-27T00:00:00.000Z,6787,Jupiter Aggregator
Signers,2023-07-27T00:00:00.000Z,3,Step Finance
Fee Payers,2023-07-27T00:00:00.000Z,3,Step Finance
Fee Payers,2023-07-27T00:00:00.000Z,1,Invariant
Signers,2023-07-27T00:00:00.000Z,1,Aldrin
Signers,2023-04-09,27,Aldrin
Fee Payers,2023-04-09,7015,Jupiter Aggregator
Fee Payers,2023-04-09,38,Serum
Fee Payers,2023-04-09,12,Saber
Signers,2023-04-09,3979,Orca
Signers,2023-04-09,12,Saber
Fee Payers,2023-04-09,5,Step Finance
Fee Payers,2023-04-09,6,Mercurial
Fee Payers,2023-04-09,724,Orca
Fee Payers,2023-04-09,6,Lifinity
Signers,2023-04-09,1,Invariant
Fee Payers,2023-04-09,8431,Stepn
Fee Payers,2023-04-09,1,GooseFX
Fee Payers,2023-04-09,1103,Raydium
Fee Payers,2023-04-09,18,Aldrin
Signers,2023-04-09,7,Step Finance
Signers,2023-04-09,6,Lifinity
Signers,2023-04-09,7029,Jupiter Aggregator
Fee Payers,2023-04-09,138,Openbook
Signers,2023-04-09,1314,Openbook
Signers,2023-04-09,13,Mercurial
Signers,2023-04-09,39,Serum
Signers,2023-04-09,2770,Raydium
Signers,2023-04-09,1,GooseFX
Fee Payers,2023-04-09,1,Invariant
Signers,2023-04-09,33713,Stepn
Fee Payers,2022-10-07,5,Step Finance
Fee Payers,2022-10-07,1202,Orca
Signers,2022-10-07,9503,Jupiter Aggregator
Signers,2022-10-07,5819,Raydium
Signers,2022-10-07,5415,Orca
Signers,2022-10-07,4,Crema
Signers,2022-10-07,32,Saber
Fee Payers,2022-10-07,75,Aldrin
Fee Payers,2022-10-07,5,GooseFX
Signers,2022-10-07,850,Mango Markets
Signers,2022-10-07,28317,Serum
Signers,2022-10-07,4,Cykura
Fee Payers,2022-10-07,555,Serum
Signers,2022-10-07,90546,Stepn
Fee Payers,2022-10-07,9476,Jupiter Aggregator
Fee Payers,2022-10-07,457,Mango Markets
Fee Payers,2022-10-07,11,Lifinity
Fee Payers,2022-10-07,3,Cykura
Signers,2022-10-07,5,GooseFX
Signers,2022-10-07,98,Mercurial
Signers,2022-10-07,5,Step Finance
Fee Payers,2022-10-07,29,Saber
Fee Payers,2022-10-07,19459,Stepn
Fee Payers,2022-10-07,2403,Raydium
Fee Payers,2022-10-07,40,Mercurial
Fee Payers,2022-10-07,6,Invariant
Signers,2022-10-07,9,Invariant
Signers,2022-10-07,16,Lifinity
Fee Payers,2022-10-07,4,Crema
Signers,2022-10-07,359,Aldrin
Signers,2023-05-09,9,Mercurial
Fee Payers,2023-05-09,6118,Stepn
Fee Payers,2023-05-09,4,Lifinity
Fee Payers,2023-05-09,61,Serum
Fee Payers,2023-05-09,10,Saber
Signers,2023-05-09,24136,Stepn
Fee Payers,2023-05-09,1,GooseFX
Signers,2023-05-09,1,GooseFX
Signers,2023-05-09,18326,Jupiter Aggregator
Signers,2023-05-09,4,Lifinity
Fee Payers,2023-05-09,18303,Jupiter Aggregator
Signers,2023-05-09,10,Saber
Fee Payers,2023-05-09,24,Aldrin
Signers,2023-05-09,46,Aldrin
Fee Payers,2023-05-09,236,Openbook
Signers,2023-05-09,9,Invariant
Signers,2023-05-09,7,Step Finance
Signers,2023-05-09,8663,Orca
Fee Payers,2023-05-09,5,Mercurial
Fee Payers,2023-05-09,1683,Orca
Fee Payers,2023-05-09,3,Invariant
Signers,2023-05-09,53452,Raydium
Fee Payers,2023-05-09,6294,Raydium
Signers,2023-05-09,76,Serum
Fee Payers,2023-05-09,5,Step Finance
Signers,2023-05-09,2633,Openbook
Signers,2023-08-05T00:00:00.000Z,2,Step Finance
